Orden de gobierno,Siglas de la Institución,Institución,Clave de la UC,Nombre de la UC,Responsable de la UC,Código del expediente,Referencia del expediente,Clave CUCOP,Título del expediente,Plantilla del expediente,Fundamento legal,Número de procedimiento,Fecha de fallo,Fecha de publicación,Fecha de apertura,Carácter del procedimiento,Tipo de contratación,Tipo Procedimiento,Forma de participación,Código del contrato,Núm. de control del contrato,Título del contrato,Descripción del contrato,Fecha de inicio del contrato,Fecha de fin del contrato,Importe DRC,Moneda del contrato,Estatus del contrato,Convenio modificatorio,Clave del programa federal,Fecha de firma del contrato,Contrato marco,Compra consolidada,Contrato plurianual,Clave de cartera SHCP,Folio en el RUPC,rfc,Proveedor o contratista,Estratificación,Clave del país de la empresa,RFC verificado en el SAT,Crédito externo,Organismo financiero,Dirección del anuncio
APF,IMSS,Instituto Mexicano del Seguro Social,050GYR013,IMSS-Coordinación de Abastecimiento y Equipamiento #050GYR013,Guadalupe Monserrat Carmona Medina,2380472,"LA-050GYR013-E68-2022 PLANTAS DE EMERGENCIA, BIENESTAR 2022",3570,"LA-050GYR013-E68-2022 PLANTAS DE EMERGENCIA, BIENESTAR 2022",01. Licitación Pública LAASSP,,LA-050GYR013-E68-2022,2022-01-17 00:00:00 GMT,2021-12-30 14:32,2022-01-10 10:00,,Servicios,,Electrónica,2784888,IMSS-OAX-058-2022,"LA-050GYR013-E68-2022 PLANTAS DE EMERGENCIA, BIENESTAR 2022","LA-050GYR013-E68-2022 PLANTAS DE EMERGENCIA, BIENESTAR 2022
",2023-01-20,2023-12-31,"1,008,560",MXN,Activo,0,,2022-01-06 00:00:00 GMT,No se utilizó el Contrato Marco,0,0,,"230,412",ELE111021PQ9,ELECMAN SA DE CV,,MX,PoC,,,https://historico-compranet.buengobierno.gob.mx/#/detalle/2380472
APF,IMSS,Instituto Mexicano del Seguro Social,050GYR034,IMSS-Coordinación de Abastecimiento y Equipamiento #050GYR034,José Manuel Escobedo Venegas,2474796,LA-050GYR034-E132-2022 CONTRATACION PLURIANUAL DEL SERVICIO DE 3 GUARDERÍAS EN ,3390,LA-050GYR034-E132-2022 CONTRATACION PLURIANUAL DEL SERVICIO DE 3 GUARDERÍAS EN ,01. Licitación Pública LAASSP,,LA-050GYR034-E132-2022,2022-08-16 00:00:00 GMT,2022-08-18 16:47,2022-08-05 09:00,,Servicios,,Presencial,2844712,DSGN223421050079,"DSGN223421050079  INCLUSIÓN ZACATECAS, A.C.",,2023-01-01,2026-12-31,"34,154,942",MXN,Activo,0,,,No se utilizó el Contrato Marco,0,1,,,IZA120914TU7,INCLUSION ZACATECAS AC,,MX,PoC,,,https://historico-compranet.buengobierno.gob.mx/#/detalle/2474796
APF,IMSS,Instituto Mexicano del Seguro Social,050GYR079,"IMSS-Unidad Médica de Alta Especialidad, Hospital de GinecoObstetricia del Centro Médico Nacional de Occidente #050GYR079",Ma. Guadalupe Soto Castañeda,2528411,AA-050GYR079-E208-2022,3580,"SERVICIO DE RECOLECCIÓN, TRANSPORTE, ACOPIO Y DISPOSICIÓN FINAL DE RESIDUOS PELIGROSOS (RP) EJERCICIO 2023 ",05. Adjudicación Directa LAASSP,Art. 42 párrafo primero,AA-050GYR079-E208-2022,,2022-10-20 08:31,2022-10-28 07:30,,Servicios,,Electrónica,2902449,S2M0023,"S2M0023 Expediente: 2528411 - SERVICIO DE RECOLECCIÓN, TRANSPORTE, ACOPIO Y DISPOSICIÓN FINAL DE RESIDUOS PELIGROSOS (RP) EJERCICIO 2023","S2M0023 Expediente: 2528411 - SERVICIO DE RECOLECCIÓN, TRANSPORTE, ACOPIO Y DISPOSICIÓN FINAL DE RESIDUOS PELIGROSOS (RP) EJERCICIO 2023",2023-01-01,2023-12-31,"18,534",MXN,Activo,0,,2022-11-14 00:00:00 GMT,No se utilizó el Contrato Marco,0,0,,"404,263",SIM140625EW1,SERVICIOS INDUSTRIALES PARA EL MANEJO DEL MEDIO AMBIENTE SA DE C,,MX,PoC,,,https://historico-compranet.buengobierno.gob.mx/#/detalle/2528411
APF,IMSS,Instituto Mexicano del Seguro Social,050GYR079,"IMSS-Unidad Médica de Alta Especialidad, Hospital de GinecoObstetricia del Centro Médico Nacional de Occidente #050GYR079",Ma. Guadalupe Soto Castañeda,2528425,AA-050GYR079-E209-2022 ,3360,SERVICIO DE FOTOCOPIADO EJERCICIO 2023,05. Adjudicación Directa LAASSP,Art. 42 párrafo primero,AA-050GYR079-E209-2022,,2022-10-20 08:40,2022-10-31 08:30,,Servicios,,Electrónica,2902507,GOS2300 ,GOS23002 Expediente: 2528425 - SERVICIO DE FOTOCOPIADO EJERCICIO 2023,GOS23002 Expediente: 2528425 - SERVICIO DE FOTOCOPIADO EJERCICIO 2023,2023-01-01,2023-12-31,"18,706",MXN,Activo,0,,2022-11-11 00:00:00 GMT,No se utilizó el Contrato Marco,0,0,,,INF981207PD1,INFODIGITAL SA DE CV,,MX,PoC,,,https://historico-compranet.buengobierno.gob.mx/#/detalle/2528425
APF,IMSS,Instituto Mexicano del Seguro Social,050GYR079,"IMSS-Unidad Médica de Alta Especialidad, Hospital de GinecoObstetricia del Centro Médico Nacional de Occidente #050GYR079",Ma. Guadalupe Soto Castañeda,2528258,AA-050GYR079-E207-2022,3710,"SERVICIO DE RESERVACIÓN, EXPEDICIÓN Y ENTREGA DE BOLETOS PARA LA TRANSPORTACIÓN AÉREA NACIONAL CON AGENCIA DE VIAJES PARA LA UMAE HOSPITAL GINECO OBSTETRICIA DEL CMNO, QUE REQUIERAN LOS SERVIDORES PÚBLICOS DEL IMSS. EJERCICIO 2023",05. Adjudicación Directa LAASSP,Art. 42 párrafo primero,AA-050GYR079-E207-2022,,2022-10-19 15:06,2022-10-27 07:30,,Servicios,,Electrónica,2902555,GOS23001,"GOS23001 Expediente: 2528258 - SERVICIO DE RESERVACIÓN, EXPEDICIÓN Y ENTREGA DE BOLETOS PARA LA TRANSPORTACIÓN AÉREA NACIONAL CON AGENCIA DE VIAJES PARA LA UMAE HOSPITAL GINECO OBSTETRICIA DEL CMNO, QUE REQUIERAN LOS SERVIDORES PÚBLICOS DEL IMSS. EJERCICIO","GOS23001 Expediente: 2528258 - SERVICIO DE RESERVACIÓN, EXPEDICIÓN Y ENTREGA DE BOLETOS PARA LA TRANSPORTACIÓN AÉREA NACIONAL CON AGENCIA DE VIAJES PARA LA UMAE HOSPITAL GINECO OBSTETRICIA DEL CMNO, QUE REQUIERAN LOS SERVIDORES PÚBLICOS DEL IMSS. EJERCICIO",2023-01-01,2023-12-31,"147,078",MXN,Activo,0,,2022-11-14 00:00:00 GMT,No se utilizó el Contrato Marco,0,0,,"5,183",AVC650311PJA,"AGENCIA DE VIAJES CARMEN, S. DE R. L. DE C.V.",,MX,PoC,,,https://historico-compranet.buengobierno.gob.mx/#/detalle/2528258
APF,IMSS,Instituto Mexicano del Seguro Social,050GYR047,IMSS-DA-UADQ-CABCS-DBT #050GYR047,Araceli Sánchez Vega,2539207,CE-050GYR047-E46-2022 Grupo 010 y 040,2530,AA-012M7B997-E112-2022 Grupo 010 y 040 INSABI,08. Reporte de otras contrataciones y contrataciones con crédito externo,,CE-050GYR047-E46-2022,,2022-11-14 16:45,2022-11-14 12:00,Otro,Adquisiciones,Otro,Presencial,2908728,012M7B997E11222001,MEDICAMENTOS,GRUPOS 010 Y 040,2023-01-01,2024-12-31,"1,038,270,985",MXN,Activo,0,,,No se utilizó el Contrato Marco,1,1,,"39,590",BME820511SU5,BAYER DE MEXICO SA DE CV,,MX,PoC,0.0,,https://historico-compranet.buengobierno.gob.mx/#/detalle/2539207
APF,IMSS,Instituto Mexicano del Seguro Social,050GYR047,IMSS-DA-UADQ-CABCS-DBT #050GYR047,Araceli Sánchez Vega,2539207,CE-050GYR047-E46-2022 Grupo 010 y 040,2530,AA-012M7B997-E112-2022 Grupo 010 y 040 INSABI,08. Reporte de otras contrataciones y contrataciones con crédito externo,,CE-050GYR047-E46-2022,,2022-11-14 16:45,2022-11-14 12:00,Otro,Adquisiciones,Otro,Presencial,2908749,012M7B997E11222002,MEDICAMENTOS,GRUPOS 010 Y 040,2023-01-01,2024-12-31,"76,723,862",MXN,Activo,0,,,No se utilizó el Contrato Marco,1,1,,"753,889",BLM570301JJ5,BECKMAN LABORATORIES DE MEXICO SA DE CV,,MX,PoC,0.0,,https://historico-compranet.buengobierno.gob.mx/#/detalle/2539207
APF,IMSS,Instituto Mexicano del Seguro Social,050GYR047,IMSS-DA-UADQ-CABCS-DBT #050GYR047,Araceli Sánchez Vega,2539207,CE-050GYR047-E46-2022 Grupo 010 y 040,2530,AA-012M7B997-E112-2022 Grupo 010 y 040 INSABI,08. Reporte de otras contrataciones y contrataciones con crédito externo,,CE-050GYR047-E46-2022,,2022-11-14 16:45,2022-11-14 12:00,Otro,Adquisiciones,Otro,Presencial,2908753,012M7B997E11222003,MEDICAMENTOS,GRUPOS 010 Y 040,2023-01-01,2024-12-31,"414,216",MXN,Activo,0,,,No se utilizó el Contrato Marco,1,1,,"170,061",BIM0711148Q0,BOEHRINGER INGELHEIM MEXICO SA DE CV,,MX,PoC,0.0,,https://historico-compranet.buengobierno.gob.mx/#/detalle/2539207
APF,IMSS,Instituto Mexicano del Seguro Social,050GYR047,IMSS-DA-UADQ-CABCS-DBT #050GYR047,Araceli Sánchez Vega,2539207,CE-050GYR047-E46-2022 Grupo 010 y 040,2530,AA-012M7B997-E112-2022 Grupo 010 y 040 INSABI,08. Reporte de otras contrataciones y contrataciones con crédito externo,,CE-050GYR047-E46-2022,,2022-11-14 16:45,2022-11-14 12:00,Otro,Adquisiciones,Otro,Presencial,2908818,012M7B997E11222004,MEDICAMENTOS,GRUPOS 010 Y 040,2023-01-01,2024-12-31,"200,691,837",MXN,Activo,0,,,No se utilizó el Contrato Marco,1,1,,623,GME970702SP5,GLAXOSMITHKLINE MEXICO S.A. DE C.V.,,MX,PoC,0.0,,https://historico-compranet.buengobierno.gob.mx/#/detalle/2539207
APF,IMSS,Instituto Mexicano del Seguro Social,050GYR047,IMSS-DA-UADQ-CABCS-DBT #050GYR047,Araceli Sánchez Vega,2539207,CE-050GYR047-E46-2022 Grupo 010 y 040,2530,AA-012M7B997-E112-2022 Grupo 010 y 040 INSABI,08. Reporte de otras contrataciones y contrataciones con crédito externo,,CE-050GYR047-E46-2022,,2022-11-14 16:45,2022-11-14 12:00,Otro,Adquisiciones,Otro,Presencial,2908833,012M7B997E11222005,MEDICAMENTOS,GRUPOS 010 Y 040,2023-01-01,2024-12-31,"8,148,000",MXN,Activo,0,,,No se utilizó el Contrato Marco,1,1,,"168,585",GME9809044C3,GRUNENTHAL DE MEXICO SA DE CV,,MX,PoC,0.0,,https://historico-compranet.buengobierno.gob.mx/#/detalle/2539207
