uuid_procedimiento,cod_drc,ref_interno,cve_cucop,descripcion,unidad_medida,precio_unitario,subtotal,iva,total_partida,monto_minimo,monto_maximo,tipo_contrato_abierto
1bd5bca764fc47b98ba72ab103fc9502,C-2025-00132107,S 5M0127,35901-0001,SERVICIO DE FUMIGACION PARA UNIDADES MEDICAS Y ADMINISTRATIVAS,METRO CUADRADO,0,514159.87,82265.5792,596425.4492,,,CANTIDAD
ddcd19fa63734639baab1baec6dcb75f,C-2026-00019195,050GYR974N02634-001-00,29901-0039,SUMINISTRO DE REFACCIONES DE CONTROL PARA DE LAS PLANTAS DE LAVADO ORIENTE Y SUR DEL ÓRGANO DE OPERACIÓN ADMINISTRATIVA DESCONCENTRADO SUR DEL D.F.,PIEZA,1216396.5,1939655.17,310344.83,2250000,775862.07,1939655.17,MONTO
d53c0593f66b4eff89c5054bb7416086,C-2025-00129990,050GYR030N01026-001-00,44102-0001,HGZ + MF NO. 1,PIEZA,4282000,4282000,685120,4967120,1712800,4282000,MONTO
d53c0593f66b4eff89c5054bb7416086,C-2025-00129990,050GYR030N01026-001-00,44102-0001,HGSZ + MF NO. 2,PIEZA,4810344,4810344,769655.04,5579999.04,1924137.6,4810344,MONTO
d53c0593f66b4eff89c5054bb7416086,C-2025-00129990,050GYR030N01026-001-00,44102-0001,HGSZ + MF NO. 26,PIEZA,3951873.12,3951873.12,632299.7,4584172.82,1580749.25,3951873.12,MONTO
d53c0593f66b4eff89c5054bb7416086,C-2025-00129990,050GYR030N01026-001-00,44102-0001,HGSZ NO. 5,PIEZA,14792000,14792000,2366720,17158720,5916800,14792000,MONTO
d53c0593f66b4eff89c5054bb7416086,C-2025-00129990,050GYR030N01026-001-00,44102-0001,HGSZ NO. 38,PIEZA,4075421.03,4075421.03,652067.36,4727488.39,1630168.42,4075421.03,MONTO
d53c0593f66b4eff89c5054bb7416086,C-2025-00129990,050GYR030N01026-001-00,44102-0001,UMF. NO. 11,PIEZA,1000000,1000000,160000,1160000,400000,1000000,MONTO
36159420cc0040d58eac7eee2df4b19b,C-2025-00131902,050GYR030N01726-001-00,32502-0024,"SERVICIO DE TRANSPORTACIÓN TERRESTRE (CAMIONETAS PARA 8 PASAJEROS) PARA EL TRASLADO DE PERSONAL DE SALUD PARA REALIZAR ACTIVIDADES EN JORNADAS NACIONALES DE SALUD PÚBLICA, ACTIVIDADES DE PREVENIMSS EXTRAMUROS (EMPRESAS Y ESCUELAS) Y ACTIVIDADES DE PROMOCIÓN A LA SALUD (ESTRATEGIAS EDUCATIVAS DE PROMOCIÓN DE LA SALUD PREVENIMSS) EN LA UNIDAD DE MEDICINA FAMILIAR 39 Y HOSPITAL GENERAL DE SUBZONA + MEDICINA FAMILIAR 26",SERVICIO,4921.35,627585,100413.6,727998.6,370230,627585,MONTO
7dabadae08d9434a83ff39c6dbf16065,C-2026-00005831,050GYR030N02626-001-00,44102-0001,"SERVICIO DE TRANSPORTACIÓN TERRESTRE (CAMIONETAS), PARA EL TRASLADO DE LOS DERECHOHABIENTES DE LAS UNIDADES MÉDICAS FAMILIARES N° 8 EN SANTA ROSALÍA, N° 14 EN BAHÍA TORTUGAS,",SERVICIO,1409353.8,1292984.4,206877.5,1499861.9,517193.76,1292984.4,MONTO
c13f12681f964e80abe54c3faeb78ba9,C-2026-00016317,050GYR029N07726-115-00,34701-0006,SERVICIO DE MANIOBRAS ZONA CENTRO,SERVICIO,4827586.21,4827586.21,772413.79,5600000,2240000,5600000,MONTO
c13f12681f964e80abe54c3faeb78ba9,C-2026-00016313,050GYR029N07726-116-00,34701-0006,SERVICIO DE MANIOBRAS ZONA SUR,SERVICIO,1034482.76,1034482.76,165517.24,1200000,480000,1200000,MONTO
c13f12681f964e80abe54c3faeb78ba9,C-2026-00016321,050GYR029N07726-117-00,34701-0006,SERVICIO DE MANIOBRAS ZONA NORTE,SERVICIO,1594827.59,1594827.59,255172.41,1850000,740000,1850000,MONTO
8e751193dab04228b03086f36204c0e2,C-2025-00133589,050GYR003N00726-001-00,35501-0005,"SERVICIO DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO MECANICO LOCALIDAD DE MEXICALI, BAJA CALIFORNIA",SERVICIO,1296296.3,1296296.3,103703.7,1400000,560000,1400000,MONTO
8e751193dab04228b03086f36204c0e2,C-2025-00133589,050GYR003N00726-001-00,35501-0005,"SERVICIO DE DOTACION DE LLANTAS, INSTALACION, ALINEACIÓN, BALANCEO Y ROTACIÓN DE LLANTAS LOCALIDAD DE MEXICALI, BAJA CALIFORNIA",SERVICIO,277777.78,277777.78,22222.22,300000,120000,300000,MONTO
8e751193dab04228b03086f36204c0e2,C-2025-00133589,050GYR003N00726-001-00,35501-0005,"SERVICIO DE REPARACIÓN DE CARROCERÍA, PINTURA, REMPLAZO DE CARROCERÍA Y ACCESORIOS LOCALIDAD DE MEXICALI, BAJA CALIFORNIA",SERVICIO,277777.78,277777.78,22222.22,300000,120000,300000,MONTO
a35519b56ba54a06b61d3c42d9dab9aa,C-2026-00028699,D22CCO2626,35401-0002,U.M.F. Nº  1 PUEBLA,SERVICIO,40.3,4433,709.28,5142.28,,,CANTIDAD
a35519b56ba54a06b61d3c42d9dab9aa,C-2026-00028699,D22CCO2626,35401-0002,U.M.F. Nº  2 PUEBLA,SERVICIO,40.3,4836,773.76,5609.76,,,CANTIDAD
a35519b56ba54a06b61d3c42d9dab9aa,C-2026-00028699,D22CCO2626,35401-0002,U.M.F. Nº  6 PUEBLA,SERVICIO,40.3,4433,709.28,5142.28,,,CANTIDAD
a35519b56ba54a06b61d3c42d9dab9aa,C-2026-00028699,D22CCO2626,35401-0002,U.M.F. Nº 57 LA MARGARITA,SERVICIO,40.3,8060,1289.6,9349.6,,,CANTIDAD
a35519b56ba54a06b61d3c42d9dab9aa,C-2026-00028699,D22CCO2626,35401-0002,U.M.F. Nº 21 PUEBLA,SERVICIO,40.3,1531.4,245.02,1776.42,,,CANTIDAD
a35519b56ba54a06b61d3c42d9dab9aa,C-2026-00028699,D22CCO2626,35401-0002,U.M.F. Nº 13 PUEBLA,SERVICIO,40.3,403,64.48,467.48,,,CANTIDAD
